Role,,Company_Type,Industry,,Location_Tier,Experience_Level,Job_Type,,Salary_LPA,Skills_Required,Education_Required
Business Analyst,,Startup,Manufacturing,,Tier 1,Senior (6-10 yrs),Full-Time,,43.8,"Agile, Excel, Power BI, SQL",BCA
Frontend Developer,,Indian Unicorn,HealthTech,,Tier 1,Mid (3-6 yrs),Full-Time,,25.9,"React, TypeScript, Figma, JavaScript, HTML/CSS, Next.js",M.Tech/M.E.
AI Engineer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,32.7,"Python, LangChain, RAG, Vector DBs, NLP, OpenAI API",B.Tech/B.E.
Android Developer,,PSU/Govt,E-Commerce,,Tier 1,Senior (6-10 yrs),Internship,,1.7,"REST APIs, Jetpack Compose, Firebase, Kotlin",B.Sc (CS/IT)
Backend Developer,,Indian Unicorn,Retail,,Remote,Junior (1-3 yrs),Full-Time,,13.2,"Docker, PostgreSQL, MongoDB, Node.js, Redis",B.Tech/B.E.
DevOps Engineer,,MNC,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,14.4,"Jenkins, Ansible, Terraform",M.Tech/M.E.
Data Analyst,,Indian Unicorn,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,44.5,"Power BI, Tableau, Statistics, SQL, Excel, Data Visualization",B.Tech/B.E.
React Developer,,PSU/Govt,HealthTech,,Tier 1,Mid (3-6 yrs),Full-Time,,9.2,"HTML/CSS, JavaScript, Redux, TypeScript",B.Tech/B.E.
Android Developer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,9.2,"Android SDK, Java, Kotlin, Jetpack Compose, Firebase, REST APIs",BCA
QA Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,19.9,"Python, Selenium, Manual Testing, Postman, JIRA",B.Sc (CS/IT)
MLOps Engineer,,Startup,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,18.4,"Python, Kubernetes, AWS, CI/CD, MLflow, Docker",B.Tech/B.E.
AI Engineer,,MNC,HealthTech,,Remote,Fresher (0-1 yr),Part-Time,,5.7,"LLMs, Vector DBs, OpenAI API, Python, Prompt Engineering, LangChain",B.Tech/B.E.
Software Engineer,,Indian Unicorn,E-Commerce,,Tier 1,Senior (6-10 yrs),Full-Time,,35.8,"Git, Data Structures, Python, System Design",BCA
Frontend Developer,,MNC,Gaming,,Tier 1,Junior (1-3 yrs),Contract,,11.3,"TypeScript, Figma, React, Next.js, Tailwind CSS, JavaScript",M.Tech/M.E.
Cloud Engineer,,Indian Unicorn,Information Technology,,Remote,Senior (6-10 yrs),Internship,,3.1,"Linux, Kubernetes, AWS, GCP, Azure, Terraform",BCA
Engineering Manager,,MNC,E-Commerce,,Tier 1,Junior (1-3 yrs),Contract,,8.6,"Roadmapping, People Management, System Design",B.Tech/B.E.
DevOps Engineer,,MNC,FinTech,,Tier 2,Junior (1-3 yrs),Contract,,12.7,"Linux, Jenkins, Terraform, Ansible, Docker, CI/CD",MBA
Data Analyst,,MNC,Manufacturing,,Remote,Mid (3-6 yrs),Full-Time,,18,"Tableau, Statistics, SQL, Power BI",B.Sc (CS/IT)
NLP Engineer,,Startup,Media & Entertainment,,Tier 1,Mid (3-6 yrs),Full-Time,,22.2,"Python, BERT, Transformers, LLMs",B.Tech/B.E.
Product Manager,,PSU/Govt,Information Technology,,Tier 2,Fresher (0-1 yr),Full-Time,,3.4,"Roadmapping, Agile, User Research",B.Tech/B.E.
Business Analyst,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,9.6,"JIRA, Excel, Power BI, SQL, Requirements Gathering, Agile",B.Tech/B.E.
Node.js Developer,,Indian Unicorn,Gaming,,Remote,Junior (1-3 yrs),Full-Time,,14.5,"Express.js, JavaScript, TypeScript, REST APIs",B.Sc (CS/IT)
Engineering Manager,,Startup,Banking & Finance,,Tier 1,Fresher (0-1 yr),Part-Time,,7.5,"Agile, Roadmapping, System Design",B.Tech/B.E.
Engineering Manager,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,6.5,"OKRs, Hiring, System Design, People Management",B.Tech/B.E.
Python Developer,,Indian Unicorn,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,5.9,"Docker, Python, REST APIs, Django, PostgreSQL, FastAPI",B.Tech/B.E.
Cloud Engineer,,Startup,EdTech,,Tier 1,Senior (6-10 yrs),Full-Time,,37,"Linux, AWS, Terraform, Docker, Kubernetes",MCA
Backend Developer,,Indian Unicorn,Media & Entertainment,,Tier 2,Mid (3-6 yrs),Part-Time,,21.9,"PostgreSQL, MongoDB, Docker, Java, Django, Redis",M.Tech/M.E.
AI Engineer,,Indian Unicorn,FinTech,,Remote,Lead (10+ yrs),Full-Time,,72.6,"OpenAI API, Vector DBs, LLMs",B.Tech/B.E.
Backend Developer,,Startup,EdTech,,Remote,Junior (1-3 yrs),Full-Time,,10,"Python, FastAPI, Docker, Java, Node.js",B.Tech/B.E.
Data Analyst,,Indian Unicorn,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,52.3,"Tableau, Python, Excel, Power BI, SQL, Statistics",BCA
Machine Learning Engineer,,Startup,Manufacturing,,Remote,Junior (1-3 yrs),Full-Time,,16.9,"PyTorch, AWS, Docker, Kubernetes",BCA
Software Engineer,,Indian Unicorn,Logistics,,Remote,Lead (10+ yrs),Full-Time,,67.1,"System Design, Python, Algorithms, C++, REST APIs",B.Tech/B.E.
Business Analyst,,Startup,Banking & Finance,,Tier 1,Junior (1-3 yrs),Internship,,2.7,"Power BI, JIRA, SQL, Excel, Requirements Gathering",MCA
Data Engineer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Internship,,1.5,"Kafka, ETL, Spark, SQL, dbt, AWS",M.Tech/M.E.
iOS Developer,,Indian Unicorn,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,12.4,"Swift, REST APIs, Firebase, Xcode",B.Sc (CS/IT)
MLOps Engineer,,Indian Unicorn,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,24.7,"CI/CD, Airflow, Docker, MLflow, Python",B.Com + Certification
Data Analyst,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5.4,"Python, Statistics, Power BI, SQL",B.Tech/B.E.
Node.js Developer,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,7.6,"TypeScript, JavaScript, Node.js, Express.js",M.Tech/M.E.
Python Developer,,MNC,Consulting,,Tier 1,Fresher (0-1 yr),Full-Time,,5.3,"Docker, REST APIs, FastAPI, Python, PostgreSQL",B.Tech/B.E.
Data Analyst,,MNC,Banking & Finance,,Tier 1,Junior (1-3 yrs),Full-Time,,9,"Data Visualization, Python, SQL, Excel, Tableau",BCA
Technical Lead,,MNC,Government/PSU,,Tier 2,Junior (1-3 yrs),Full-Time,,10.3,"AWS, Agile, System Design",MCA
Computer Vision Engineer,,Indian Unicorn,Logistics,,Remote,Senior (6-10 yrs),Full-Time,,42.4,"YOLO, TensorFlow, Python, PyTorch, Deep Learning, OpenCV",B.Tech/B.E.
React Developer,,PSU/Govt,Consulting,,Remote,Lead (10+ yrs),Internship,,1.5,"Next.js, TypeScript, JavaScript, Redux, HTML/CSS, React",MCA
Full Stack Developer,,PSU/Govt,FinTech,,Tier 2,Junior (1-3 yrs),Full-Time,,6.8,"Python, Node.js, PostgreSQL",B.Tech/B.E.
Product Manager,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,17.5,"Agile, User Research, SQL, A/B Testing, JIRA, Roadmapping",BCA
Java Developer,,MNC,FinTech,,Tier 2,Junior (1-3 yrs),Contract,,10,"SQL, Microservices, Maven, Java",PhD
Computer Vision Engineer,,Startup,Information Technology,,Remote,Mid (3-6 yrs),Internship,,1.6,"Deep Learning, PyTorch, TensorFlow",B.Tech/B.E.
Data Scientist,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,30.2,"Machine Learning, SQL, Deep Learning, Statistics",B.Tech/B.E.
Backend Developer,,PSU/Govt,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,25.9,"Redis, Java, FastAPI, Node.js",MCA
Cybersecurity Analyst,,Indian Unicorn,E-Commerce,,Remote,Lead (10+ yrs),Contract,,62.1,"Network Security, Ethical Hacking, SIEM, Penetration Testing, Python",M.Tech/M.E.
Machine Learning Engineer,,Indian Unicorn,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,9.4,"MLOps, PyTorch, AWS, Kubernetes",B.Sc (CS/IT)
DevOps Engineer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Internship,,3.3,"Terraform, Docker, Jenkins, AWS, Linux",MBA
Data Engineer,,Startup,E-Commerce,,Tier 1,Lead (10+ yrs),Internship,,2.1,"dbt, Airflow, SQL, Kafka, AWS, ETL",B.Tech/B.E.
Technical Lead,,MNC,Information Technology,,Tier 2,Junior (1-3 yrs),Full-Time,,9.9,"Team Leadership, Code Review, Microservices",BCA
Software Engineer,,MNC,Banking & Finance,,Tier 1,Fresher (0-1 yr),Internship,,2.7,"Java, System Design, Git, Data Structures, Python, C++",MCA
Cloud Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,17.1,"Linux, Azure, Docker, AWS",B.Tech/B.E.
QA Engineer,,Indian Unicorn,Media & Entertainment,,Remote,Junior (1-3 yrs),Full-Time,,14.3,"JIRA, API Testing, Postman, Manual Testing, Selenium, Python",B.Tech/B.E.
Frontend Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Contract,,10,"Next.js, Figma, Tailwind CSS, React, JavaScript",M.Tech/M.E.
Android Developer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,20.7,"Kotlin, REST APIs, Firebase",B.Tech/B.E.
Python Developer,,MNC,EdTech,,Remote,Junior (1-3 yrs),Full-Time,,8.7,"FastAPI, Docker, Python",MCA
DevOps Engineer,,Startup,E-Commerce,,Tier 2,Fresher (0-1 yr),Contract,,4.9,"Terraform, Linux, Jenkins, CI/CD",MCA
Frontend Developer,,MNC,Government/PSU,,Remote,Senior (6-10 yrs),Full-Time,,34.2,"Figma, HTML/CSS, Next.js",B.Tech/B.E.
Frontend Developer,,MNC,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,13.9,"Figma, Next.js, HTML/CSS, React, TypeScript, JavaScript",PhD
Software Engineer,,Indian Unicorn,Consulting,,Tier 1,Junior (1-3 yrs),Contract,,14.1,"System Design, Algorithms, Python, Data Structures, Git",B.Tech/B.E.
Node.js Developer,,Indian Unicorn,EdTech,,Remote,Junior (1-3 yrs),Full-Time,,11.6,"JavaScript, Express.js, REST APIs",M.Tech/M.E.
Full Stack Developer,,MNC,Manufacturing,,Remote,Senior (6-10 yrs),Full-Time,,22.2,"Docker, AWS, MongoDB",B.Tech/B.E.
Data Engineer,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Contract,,6.8,"ETL, AWS, SQL, Airflow",MCA
iOS Developer,,Startup,Gaming,,Tier 1,Junior (1-3 yrs),Internship,,1.2,"SwiftUI, Swift, Xcode, Firebase",MBA
React Developer,,Startup,E-Commerce,,Tier 1,Senior (6-10 yrs),Full-Time,,35,"Next.js, React, JavaScript",MCA
Business Analyst,,MNC,Gaming,,Tier 1,Mid (3-6 yrs),Full-Time,,19.5,"Agile, JIRA, SQL, Excel, Power BI, Requirements Gathering",B.Tech/B.E.
Research Scientist,,Startup,E-Commerce,,Remote,Fresher (0-1 yr),Internship,,1.1,"PyTorch, Python, NLP, Statistics, Deep Learning",B.Tech/B.E.
Python Developer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,11.5,"PostgreSQL, Django, FastAPI, Python, Docker, REST APIs",B.Tech/B.E.
DevOps Engineer,,MNC,Government/PSU,,Tier 1,Senior (6-10 yrs),Contract,,22.9,"Linux, Jenkins, AWS, Kubernetes, Docker, Ansible",M.Tech/M.E.
Software Engineer,,Indian Unicorn,E-Commerce,,Remote,Fresher (0-1 yr),Contract,,6.6,"Data Structures, REST APIs, Python, Algorithms, System Design",MCA
Data Analyst,,Startup,Automobile,,Remote,Lead (10+ yrs),Full-Time,,70.3,"SQL, Python, Excel, Data Visualization, Power BI",MBA
Full Stack Developer,,Startup,Information Technology,,Tier 2,Junior (1-3 yrs),Full-Time,,10.2,"PostgreSQL, MongoDB, Python",MBA
Full Stack Developer,,MNC,FinTech,,Remote,Senior (6-10 yrs),Full-Time,,26.6,"REST APIs, Python, PostgreSQL, React, AWS",B.Tech/B.E.
Python Developer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,11.8,"Python, REST APIs, PostgreSQL, FastAPI",B.Tech/B.E.
Python Developer,,Startup,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,10,"Docker, REST APIs, Python, FastAPI",MBA
Power BI Developer,,PSU/Govt,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,12.8,"Azure, Excel, DAX, Power BI",B.Tech/B.E.
Software Engineer,,Indian Unicorn,HealthTech,,Remote,Junior (1-3 yrs),Full-Time,,11.5,"REST APIs, Python, Git, C++, System Design, Java",BCA
Android Developer,,Indian Unicorn,Information Technology,,Remote,Lead (10+ yrs),Part-Time,,80.4,"Kotlin, Firebase, Android SDK, Jetpack Compose, REST APIs",BCA
Computer Vision Engineer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,25.9,"Deep Learning, TensorFlow, PyTorch, OpenCV",B.Tech/B.E.
iOS Developer,,Startup,Gaming,,Remote,Mid (3-6 yrs),Full-Time,,20.1,"SwiftUI, Xcode, Core Data, REST APIs",BCA
Data Scientist,,MNC,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,79.2,"Python, NLP, Deep Learning, Scikit-learn",B.Tech/B.E.
Data Engineer,,MNC,HealthTech,,Tier 1,Fresher (0-1 yr),Contract,,4.9,"Spark, Python, ETL, Kafka, dbt, SQL",M.Tech/M.E.
Software Engineer,,MNC,HealthTech,,Tier 2,Lead (10+ yrs),Full-Time,,69.6,"Data Structures, Java, Git, Algorithms",B.Tech/B.E.
DevOps Engineer,,Startup,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,4.8,"Docker, Ansible, Linux, Kubernetes, Terraform, CI/CD",M.Tech/M.E.
Data Scientist,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,41.6,"Statistics, NLP, TensorFlow, Scikit-learn, Tableau, Python",MCA
React Developer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Internship,,2.8,"JavaScript, TypeScript, React, Redux, Next.js, HTML/CSS",B.Tech/B.E.
DevOps Engineer,,MNC,Government/PSU,,Tier 1,Senior (6-10 yrs),Full-Time,,31.1,"Jenkins, Terraform, Kubernetes, Ansible",BCA
Java Developer,,Startup,FinTech,,Tier 1,Senior (6-10 yrs),Full-Time,,40.9,"Spring Boot, Hibernate, Microservices",MBA
Frontend Developer,,Startup,Consulting,,Tier 1,Junior (1-3 yrs),Full-Time,,12.2,"HTML/CSS, React, Figma, TypeScript, Next.js, JavaScript",B.Tech/B.E.
Full Stack Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,12.5,"PostgreSQL, REST APIs, MongoDB, AWS, React",PhD
Technical Lead,,Startup,HealthTech,,Remote,Fresher (0-1 yr),Contract,,5,"System Design, AWS, Agile, Code Review",MBA
React Developer,,Startup,FinTech,,Remote,Senior (6-10 yrs),Full-Time,,42.6,"React, HTML/CSS, TypeScript, Next.js, JavaScript",B.Sc (CS/IT)
Data Analyst,,Indian Unicorn,Banking & Finance,,Tier 1,Senior (6-10 yrs),Full-Time,,48.4,"Tableau, Power BI, Statistics, Python",MBA
MLOps Engineer,,Startup,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,17.6,"Kubernetes, Airflow, AWS, CI/CD, Python",PhD
Node.js Developer,,Indian Unicorn,Consulting,,Remote,Mid (3-6 yrs),Full-Time,,27.4,"Express.js, Node.js, JavaScript, TypeScript, REST APIs",MBA
Python Developer,,PSU/Govt,Manufacturing,,Remote,Senior (6-10 yrs),Contract,,20.5,"REST APIs, AWS, Python, Django, Docker",B.Sc (CS/IT)
React Developer,,Startup,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,42.3,"TypeScript, Redux, React, JavaScript, Next.js, HTML/CSS",MCA
QA Engineer,,MNC,E-Commerce,,Tier 1,Junior (1-3 yrs),Part-Time,,8.8,"Selenium, Manual Testing, Python, Postman, JIRA",MCA
UI/UX Designer,,MNC,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,26.7,"Figma, Adobe XD, Wireframing, CSS",B.Tech/B.E.
Cybersecurity Analyst,,MNC,Automobile,,Tier 1,Junior (1-3 yrs),Full-Time,,11.1,"Ethical Hacking, SIEM, Python",B.Sc (CS/IT)
Data Analyst,,PSU/Govt,E-Commerce,,Tier 1,Fresher (0-1 yr),Full-Time,,4.1,"Tableau, Statistics, SQL, Python, Excel, Data Visualization",B.Tech/B.E.
Cybersecurity Analyst,,MNC,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,4,"Python, Penetration Testing, SIEM, Network Security",B.Tech/B.E.
Research Scientist,,MNC,Banking & Finance,,Remote,Senior (6-10 yrs),Full-Time,,36.2,"NLP, PyTorch, Publications, Statistics, Python, Deep Learning",B.Tech/B.E.
Java Developer,,Startup,EdTech,,Tier 1,Mid (3-6 yrs),Internship,,1.1,"Maven, Microservices, SQL, Hibernate",B.Tech/B.E.
Data Scientist,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,45.6,"Machine Learning, SQL, Tableau, Deep Learning, Scikit-learn",B.Tech/B.E.
Full Stack Developer,,Startup,Information Technology,,Tier 1,Junior (1-3 yrs),Part-Time,,10.7,"Python, Node.js, React, MongoDB, REST APIs",B.Tech/B.E.
QA Engineer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5,"Postman, Manual Testing, API Testing, Python, JIRA, Selenium",B.Tech/B.E.
Node.js Developer,,Startup,Government/PSU,,Remote,Mid (3-6 yrs),Full-Time,,17.9,"REST APIs, Express.js, TypeScript, Node.js, MongoDB, JavaScript",M.Tech/M.E.
Power BI Developer,,MNC,FinTech,,Remote,Lead (10+ yrs),Full-Time,,52.2,"ETL, Data Modeling, SQL, Azure, DAX",B.Tech/B.E.
QA Engineer,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,6.5,"Python, Manual Testing, API Testing, Postman, JIRA, Selenium",B.Sc (CS/IT)
AI Engineer,,Startup,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,55,"Python, LLMs, Vector DBs",B.Tech/B.E.
Python Developer,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,12.4,"AWS, FastAPI, Django, PostgreSQL, REST APIs",PhD
Python Developer,,Indian Unicorn,Media & Entertainment,,Tier 2,Senior (6-10 yrs),Full-Time,,43.1,"AWS, Django, PostgreSQL",B.Tech/B.E.
Product Manager,,Indian Unicorn,Government/PSU,,Tier 2,Mid (3-6 yrs),Full-Time,,28.5,"Product Strategy, JIRA, User Research",B.Sc (CS/IT)
Full Stack Developer,,Startup,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,13.3,"AWS, Node.js, PostgreSQL",B.Tech/B.E.
Cloud Engineer,,Startup,HealthTech,,Tier 2,Fresher (0-1 yr),Internship,,3.1,"AWS, Linux, Docker",BCA
Backend Developer,,Startup,HealthTech,,Tier 1,Mid (3-6 yrs),Full-Time,,22.3,"MongoDB, Django, Python, Redis",M.Tech/M.E.
Data Analyst,,MNC,Gaming,,Remote,Junior (1-3 yrs),Full-Time,,9.5,"Power BI, SQL, Data Visualization",M.Tech/M.E.
Software Engineer,,Startup,Information Technology,,Remote,Senior (6-10 yrs),Contract,,47,"Git, Data Structures, C++",MCA
Node.js Developer,,Startup,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,18,"JavaScript, TypeScript, REST APIs, Node.js",B.Sc (CS/IT)
Data Engineer,,PSU/Govt,HealthTech,,Tier 1,Junior (1-3 yrs),Full-Time,,7.2,"Python, ETL, dbt",B.Tech/B.E.
Python Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,11.6,"REST APIs, Django, AWS, Docker, Python, FastAPI",B.Tech/B.E.
Java Developer,,MNC,EdTech,,Remote,Mid (3-6 yrs),Internship,,2.7,"SQL, REST APIs, Microservices, Hibernate",B.Sc (CS/IT)
Machine Learning Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,19.9,"TensorFlow, Scikit-learn, PyTorch",B.Tech/B.E.
Software Engineer,,MNC,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,5.4,"REST APIs, Java, Data Structures, Git, Python, System Design",B.Tech/B.E.
iOS Developer,,MNC,FinTech,,Remote,Mid (3-6 yrs),Internship,,3.1,"SwiftUI, Firebase, REST APIs, Core Data, Swift, Xcode",B.Tech/B.E.
Computer Vision Engineer,,PSU/Govt,E-Commerce,,Tier 2,Mid (3-6 yrs),Full-Time,,12.3,"YOLO, Deep Learning, OpenCV, Python",B.Tech/B.E.
Data Scientist,,Indian Unicorn,Banking & Finance,,Remote,Lead (10+ yrs),Full-Time,,88.5,"TensorFlow, SQL, Scikit-learn, Machine Learning, Tableau",M.Tech/M.E.
Full Stack Developer,,Startup,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,59.9,"React, Docker, Node.js, MongoDB, AWS, REST APIs",M.Tech/M.E.
React Developer,,MNC,Consulting,,Remote,Junior (1-3 yrs),Full-Time,,10.7,"Next.js, HTML/CSS, Redux, React",MCA
Engineering Manager,,MNC,Manufacturing,,Tier 1,Mid (3-6 yrs),Full-Time,,18.4,"OKRs, Hiring, Roadmapping, Agile, People Management, System Design",MBA
React Developer,,Indian Unicorn,Banking & Finance,,Tier 1,Senior (6-10 yrs),Contract,,55.5,"JavaScript, React, TypeScript, HTML/CSS, Redux, Next.js",MBA
Power BI Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Part-Time,,16.4,"Power BI, Data Modeling, SQL, DAX, Excel",B.Tech/B.E.
Full Stack Developer,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,36.5,"Python, Docker, REST APIs",MCA
Cloud Engineer,,MNC,Media & Entertainment,,Tier 1,Senior (6-10 yrs),Full-Time,,25.5,"AWS, Docker, Terraform, Linux",M.Tech/M.E.
MLOps Engineer,,Startup,EdTech,,Tier 2,Mid (3-6 yrs),Full-Time,,19.4,"AWS, CI/CD, Airflow",B.Tech/B.E.
React Developer,,PSU/Govt,Logistics,,Tier 2,Junior (1-3 yrs),Full-Time,,6.8,"HTML/CSS, TypeScript, JavaScript, React, Redux, Next.js",M.Tech/M.E.
Business Analyst,,MNC,E-Commerce,,Tier 1,Senior (6-10 yrs),Full-Time,,29.5,"Excel, SQL, Requirements Gathering",M.Tech/M.E.
UI/UX Designer,,Startup,HealthTech,,Tier 2,Senior (6-10 yrs),Internship,,2,"CSS, User Research, Figma, Wireframing, Prototyping, Adobe XD",B.Com + Certification
NLP Engineer,,Indian Unicorn,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,10.2,"Transformers, Python, BERT, TensorFlow",B.Sc (CS/IT)
Product Manager,,PSU/Govt,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,6.6,"User Research, Agile, Product Strategy, SQL, A/B Testing",B.Tech/B.E.
AI Engineer,,MNC,Banking & Finance,,Tier 1,Lead (10+ yrs),Full-Time,,60.7,"Vector DBs, Python, LLMs",B.Tech/B.E.
QA Engineer,,Indian Unicorn,E-Commerce,,Tier 1,Lead (10+ yrs),Full-Time,,49.8,"Postman, Selenium, Python, Manual Testing, API Testing, JIRA",B.Tech/B.E.
QA Engineer,,PSU/Govt,Media & Entertainment,,Tier 1,Fresher (0-1 yr),Full-Time,,3.4,"Postman, Manual Testing, JIRA, Python, Selenium, API Testing",BCA
Node.js Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,17.3,"Express.js, JavaScript, REST APIs, Node.js, MongoDB",MCA
Software Engineer,,PSU/Govt,E-Commerce,,Tier 1,Junior (1-3 yrs),Internship,,1,"Data Structures, System Design, Git, Python, Java, REST APIs",MCA
QA Engineer,,MNC,HealthTech,,Remote,Mid (3-6 yrs),Full-Time,,17.2,"JIRA, API Testing, Postman, Manual Testing, Python",M.Tech/M.E.
React Developer,,MNC,Government/PSU,,Remote,Junior (1-3 yrs),Full-Time,,9.8,"JavaScript, Next.js, TypeScript, React",BCA
Python Developer,,PSU/Govt,EdTech,,Remote,Lead (10+ yrs),Full-Time,,25.1,"Django, Python, Docker, AWS, PostgreSQL",BCA
Power BI Developer,,Startup,E-Commerce,,Tier 1,Fresher (0-1 yr),Internship,,1.7,"Azure, DAX, ETL",M.Tech/M.E.
Backend Developer,,PSU/Govt,Government/PSU,,Remote,Lead (10+ yrs),Full-Time,,24.1,"Redis, Node.js, Java, MongoDB",BCA
Data Analyst,,Startup,Gaming,,Tier 1,Junior (1-3 yrs),Full-Time,,14.7,"Tableau, SQL, Power BI, Excel, Statistics",B.Tech/B.E.
Computer Vision Engineer,,Startup,Automobile,,Tier 2,Senior (6-10 yrs),Full-Time,,46,"Python, TensorFlow, PyTorch",B.Tech/B.E.
Data Scientist,,MNC,Media & Entertainment,,Remote,Fresher (0-1 yr),Full-Time,,6.5,"Statistics, SQL, Tableau, Machine Learning",MCA
Cloud Engineer,,Startup,Media & Entertainment,,Remote,Fresher (0-1 yr),Full-Time,,5.4,"Kubernetes, Azure, Docker, Linux, AWS",BCA
Backend Developer,,Startup,Banking & Finance,,Remote,Lead (10+ yrs),Internship,,2.6,"Django, Python, Redis, MongoDB, Java, Node.js",M.Tech/M.E.
Cloud Engineer,,Startup,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,12.7,"GCP, Kubernetes, Docker, Terraform, Linux, Azure",B.Tech/B.E.
Business Analyst,,Startup,EdTech,,Tier 1,Senior (6-10 yrs),Full-Time,,38.9,"JIRA, Agile, SQL, Excel",M.Tech/M.E.
Python Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,32.6,"Django, REST APIs, PostgreSQL, FastAPI, Python",B.Tech/B.E.
Product Manager,,Startup,FinTech,,Remote,Junior (1-3 yrs),Part-Time,,9,"User Research, Roadmapping, JIRA, SQL, A/B Testing, Agile",BCA
UI/UX Designer,,MNC,E-Commerce,,Tier 2,Mid (3-6 yrs),Full-Time,,13.1,"Prototyping, User Research, CSS, Adobe XD, Wireframing, Figma",B.Tech/B.E.
Engineering Manager,,MNC,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,13.1,"Agile, OKRs, Hiring",B.Tech/B.E.
UI/UX Designer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Internship,,1.2,"CSS, Wireframing, Prototyping, Figma",B.Tech/B.E.
Power BI Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,14.9,"SQL, Power BI, Excel, DAX, Azure, Data Modeling",M.Tech/M.E.
Python Developer,,Startup,E-Commerce,,Tier 2,Junior (1-3 yrs),Full-Time,,9.9,"PostgreSQL, Docker, REST APIs, Django",M.Tech/M.E.
React Developer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Internship,,2.8,"Redux, Next.js, HTML/CSS, React",B.Sc (CS/IT)
DevOps Engineer,,Indian Unicorn,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,6.7,"Docker, Terraform, AWS, Linux, Kubernetes",BCA
