Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
DevOps Engineer,Startup,Information Technology,Tier 1,Part-Time,14.1,"Ansible, AWS, Jenkins",M.Tech/M.E.,2,junior
Full Stack Developer,MNC,Manufacturing,Tier 1,Full-Time,8.4,"REST APIs, PostgreSQL, Node.js, Python",B.Tech/B.E.,2,junior
iOS Developer,PSU/Govt,Information Technology,Remote,Full-Time,4.1,"REST APIs, Firebase, Core Data, Swift, SwiftUI, Xcode",B.Tech/B.E.,0.5,fresher
Cloud Engineer,Indian Unicorn,Retail,Remote,Internship,3.4,"Linux, Azure, Terraform, Docker, GCP, Kubernetes",B.Tech/B.E.,2,junior
DevOps Engineer,Startup,HealthTech,Tier 1,Full-Time,57.9,"Terraform, AWS, Kubernetes, Linux, Docker, Ansible",B.Sc (CS/IT),10,lead
UI/UX Designer,Startup,Manufacturing,Remote,Full-Time,6.8,"CSS, Prototyping, Wireframing, User Research",B.Tech/B.E.,0.5,fresher
Business Analyst,MNC,Banking & Finance,Remote,Full-Time,10.8,"Agile, Excel, Requirements Gathering, JIRA, SQL",M.Tech/M.E.,2,junior
QA Engineer,MNC,FinTech,Remote,Part-Time,4.2,"Manual Testing, Postman, API Testing, Selenium, Python",B.Tech/B.E.,0.5,fresher
Java Developer,MNC,Information Technology,Tier 1,Full-Time,5,"Maven, SQL, Java, REST APIs, Microservices",B.Tech/B.E.,0.5,fresher
React Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,17.2,"JavaScript, React, HTML/CSS, Redux",BCA,4.5,mid
Business Analyst,Indian Unicorn,E-Commerce,Remote,Full-Time,12.4,"Power BI, Agile, JIRA, Excel, Requirements Gathering, SQL",B.Tech/B.E.,2,junior
Computer Vision Engineer,MNC,HealthTech,Tier 1,Full-Time,22.7,"YOLO, Deep Learning, Python",B.Tech/B.E.,4.5,mid
Java Developer,MNC,Government/PSU,Remote,Full-Time,14.8,"Spring Boot, Microservices, REST APIs, Maven, SQL, Java",BCA,4.5,mid
AI Engineer,PSU/Govt,E-Commerce,Tier 1,Full-Time,7.5,"LangChain, Python, LLMs, Prompt Engineering",MCA,2,junior
Business Analyst,MNC,HealthTech,Tier 1,Contract,9.2,"Requirements Gathering, SQL, Agile, Power BI",B.Tech/B.E.,2,junior
Python Developer,MNC,E-Commerce,Remote,Full-Time,6.2,"Django, REST APIs, Docker, FastAPI",MCA,0.5,fresher
Data Analyst,MNC,Consulting,Remote,Full-Time,13.5,"Tableau, Statistics, Data Visualization, Python",B.Sc (CS/IT),2,junior
Software Engineer,Startup,Information Technology,Tier 2,Full-Time,15.3,"Python, REST APIs, C++, System Design",B.Tech/B.E.,4.5,mid
Software Engineer,MNC,E-Commerce,Remote,Contract,5.7,"Java, Data Structures, Git, Algorithms, Python, System Design",BCA,0.5,fresher
Java Developer,Indian Unicorn,Consulting,Tier 2,Full-Time,6.9,"SQL, Maven, Hibernate, Spring Boot, Java, Microservices",MCA,0.5,fresher
NLP Engineer,Startup,Information Technology,Tier 1,Full-Time,70.6,"TensorFlow, SpaCy, Python",B.Tech/B.E.,10,lead
UI/UX Designer,MNC,Information Technology,Tier 2,Contract,10.9,"Adobe XD, Figma, Prototyping, Wireframing, User Research",B.Tech/B.E.,2,junior
Business Analyst,Startup,Manufacturing,Remote,Contract,78.9,"SQL, Requirements Gathering, Power BI, Agile, JIRA, Excel",B.Tech/B.E.,10,lead
Software Engineer,Startup,Information Technology,Remote,Full-Time,7.3,"REST APIs, Java, System Design",MBA,0.5,fresher
Software Engineer,PSU/Govt,Manufacturing,Tier 1,Full-Time,4,"Java, C++, Data Structures",B.Tech/B.E.,0.5,fresher
Data Scientist,MNC,EdTech,Remote,Full-Time,10.6,"Deep Learning, Statistics, Python",MCA,2,junior
Business Analyst,Startup,Information Technology,Remote,Full-Time,44.3,"Power BI, SQL, Excel, JIRA",M.Tech/M.E.,8,senior
Research Scientist,MNC,Consulting,Tier 1,Full-Time,58.4,"Statistics, NLP, Publications",B.Tech/B.E.,10,lead
Node.js Developer,Indian Unicorn,Information Technology,Tier 1,Contract,46.1,"MongoDB, Express.js, TypeScript",BCA,8,senior
Java Developer,MNC,Banking & Finance,Remote,Full-Time,9,"Spring Boot, Maven, SQL, REST APIs, Java, Microservices",B.Tech/B.E.,2,junior
QA Engineer,MNC,Banking & Finance,Remote,Full-Time,19.1,"Selenium, JIRA, API Testing",B.Tech/B.E.,4.5,mid
Power BI Developer,PSU/Govt,EdTech,Remote,Full-Time,10.2,"Data Modeling, Excel, DAX",B.Sc (CS/IT),4.5,mid
Computer Vision Engineer,Startup,HealthTech,Remote,Full-Time,11.1,"Python, PyTorch, TensorFlow, YOLO",B.Tech/B.E.,2,junior
Product Manager,Indian Unicorn,Banking & Finance,Tier 1,Full-Time,87.8,"Agile, SQL, Product Strategy, JIRA",MCA,10,lead
Data Scientist,Startup,Information Technology,Remote,Full-Time,19.2,"Machine Learning, Statistics, Tableau, NLP, Pandas",B.Tech/B.E.,4.5,mid
React Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,11.2,"HTML/CSS, Next.js, Redux, React, TypeScript",B.Tech/B.E.,4.5,mid
Software Engineer,Indian Unicorn,EdTech,Remote,Contract,11,"Git, System Design, Java",MCA,2,junior
Data Scientist,PSU/Govt,EdTech,Tier 1,Internship,2.2,"Python, Deep Learning, Pandas",B.Tech/B.E.,0.5,fresher
MLOps Engineer,MNC,Government/PSU,Remote,Full-Time,4.6,"AWS, Docker, CI/CD, Airflow, Python, Kubernetes",M.Tech/M.E.,0.5,fresher
Node.js Developer,Startup,Information Technology,Tier 2,Full-Time,53.2,"MongoDB, TypeScript, Express.js, Node.js",B.Sc (CS/IT),10,lead
iOS Developer,Startup,Information Technology,Tier 1,Part-Time,25.2,"Firebase, Core Data, Xcode",B.Tech/B.E.,4.5,mid
Node.js Developer,PSU/Govt,E-Commerce,Remote,Contract,22.7,"Node.js, REST APIs, Express.js, TypeScript, MongoDB",MCA,10,lead
Research Scientist,Indian Unicorn,E-Commerce,Remote,Full-Time,19.5,"NLP, Deep Learning, Statistics",B.Tech/B.E.,2,junior
Computer Vision Engineer,Indian Unicorn,Consulting,Tier 1,Full-Time,55.1,"Deep Learning, OpenCV, Python",B.Tech/B.E.,8,senior
Data Scientist,MNC,Banking & Finance,Remote,Full-Time,5.9,"Deep Learning, Tableau, Machine Learning, NLP",B.Tech/B.E.,0.5,fresher
Frontend Developer,Indian Unicorn,Media & Entertainment,Tier 2,Full-Time,13,"JavaScript, HTML/CSS, TypeScript, Tailwind CSS",BCA,2,junior
Engineering Manager,MNC,Banking & Finance,Tier 1,Full-Time,6,"Agile, Roadmapping, OKRs, System Design",B.Sc (CS/IT),0.5,fresher
Android Developer,Startup,EdTech,Tier 1,Full-Time,6.5,"Firebase, Jetpack Compose, REST APIs, Android SDK",B.Tech/B.E.,0.5,fresher
QA Engineer,Indian Unicorn,EdTech,Remote,Internship,1.4,"API Testing, Postman, Manual Testing, Python, JIRA",M.Tech/M.E.,10,lead
Node.js Developer,MNC,Information Technology,Remote,Internship,1.1,"MongoDB, REST APIs, TypeScript, JavaScript",MBA,0.5,fresher
DevOps Engineer,MNC,Consulting,Tier 1,Contract,39.2,"Jenkins, Docker, AWS, Kubernetes, Terraform",B.Tech/B.E.,8,senior
Java Developer,Startup,Telecom,Remote,Contract,27,"Maven, REST APIs, Microservices, SQL",MCA,4.5,mid
Business Analyst,MNC,Manufacturing,Tier 2,Full-Time,21.7,"Requirements Gathering, Excel, Agile",BCA,4.5,mid
Python Developer,MNC,EdTech,Tier 2,Contract,9.3,"REST APIs, Python, Docker, AWS, PostgreSQL, Django",MBA,2,junior
Backend Developer,MNC,Information Technology,Remote,Full-Time,61.6,"Redis, Java, Docker, Node.js, FastAPI, Django",MCA,10,lead
UI/UX Designer,MNC,HealthTech,Tier 1,Full-Time,9.5,"Wireframing, Figma, Prototyping",M.Tech/M.E.,2,junior
NLP Engineer,Startup,HealthTech,Tier 1,Contract,74,"Python, BERT, TensorFlow, HuggingFace",B.Tech/B.E.,10,lead
Machine Learning Engineer,PSU/Govt,Information Technology,Remote,Part-Time,4.2,"Docker, PyTorch, Kubernetes, AWS, Python, Scikit-learn",B.Tech/B.E.,0.5,fresher
MLOps Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,8.9,"Kubernetes, AWS, Airflow, MLflow",B.Tech/B.E.,0.5,fresher
Frontend Developer,MNC,Information Technology,Remote,Full-Time,28.3,"TypeScript, HTML/CSS, React, Tailwind CSS, Figma, JavaScript",B.Tech/B.E.,8,senior
Product Manager,Indian Unicorn,Information Technology,Remote,Full-Time,11.6,"JIRA, User Research, Product Strategy, A/B Testing, Roadmapping, Agile",B.Sc (CS/IT),2,junior
Full Stack Developer,Startup,Information Technology,Tier 1,Full-Time,75.3,"Docker, React, Node.js, REST APIs, MongoDB, AWS",MCA,10,lead
React Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,60.8,"Next.js, JavaScript, React",BCA,10,lead
React Developer,MNC,Information Technology,Remote,Internship,2.1,"JavaScript, Next.js, Redux, HTML/CSS",BCA,4.5,mid
Software Engineer,MNC,Information Technology,Remote,Internship,2.2,"Data Structures, Git, Algorithms, Java",B.Tech/B.E.,4.5,mid
Product Manager,MNC,Consulting,Tier 1,Full-Time,22.5,"User Research, Agile, Roadmapping, A/B Testing",B.Tech/B.E.,4.5,mid
Software Engineer,PSU/Govt,Information Technology,Tier 1,Full-Time,11.2,"Java, Git, C++, REST APIs, System Design",B.Tech/B.E.,4.5,mid
Python Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,23.1,"AWS, Python, REST APIs, Django",B.Tech/B.E.,4.5,mid
Cloud Engineer,Startup,Information Technology,Remote,Full-Time,44.9,"GCP, Azure, Terraform, Kubernetes",B.Tech/B.E.,8,senior
Business Analyst,MNC,E-Commerce,Tier 1,Full-Time,11.5,"Requirements Gathering, Power BI, SQL, Excel, Agile",B.Sc (CS/IT),2,junior
Software Engineer,MNC,FinTech,Tier 1,Internship,1.5,"C++, Algorithms, Python, System Design",MCA,2,junior
Full Stack Developer,Indian Unicorn,E-Commerce,Tier 1,Full-Time,49.1,"REST APIs, Node.js, Docker, PostgreSQL, React",MBA,8,senior
Software Engineer,Startup,HealthTech,Tier 1,Full-Time,71.5,"Algorithms, REST APIs, C++",M.Tech/M.E.,10,lead
MLOps Engineer,MNC,Information Technology,Tier 1,Full-Time,40.9,"Python, Docker, AWS, CI/CD",MCA,8,senior
React Developer,Indian Unicorn,Information Technology,Remote,Full-Time,58.5,"JavaScript, HTML/CSS, TypeScript, Redux, Next.js",B.Tech/B.E.,10,lead
Product Manager,Startup,Banking & Finance,Tier 2,Full-Time,6.9,"SQL, User Research, Roadmapping, Agile",MBA,0.5,fresher
Java Developer,PSU/Govt,Information Technology,Tier 1,Internship,1.6,"Spring Boot, SQL, REST APIs",M.Tech/M.E.,4.5,mid
Data Scientist,MNC,EdTech,Remote,Full-Time,5.5,"Python, NLP, Pandas, Scikit-learn, TensorFlow, SQL",B.Tech/B.E.,0.5,fresher
Data Analyst,MNC,EdTech,Remote,Part-Time,53.3,"Statistics, Power BI, Python, Data Visualization, SQL, Tableau",BCA,10,lead
Backend Developer,MNC,Manufacturing,Tier 1,Full-Time,7,"Python, Java, Redis",BCA,2,junior
Software Engineer,Startup,HealthTech,Tier 1,Full-Time,51.3,"System Design, C++, REST APIs",BCA,10,lead
Python Developer,MNC,E-Commerce,Remote,Full-Time,36.4,"Python, AWS, REST APIs, Docker, FastAPI, PostgreSQL",B.Sc (CS/IT),8,senior
Software Engineer,Indian Unicorn,Information Technology,Remote,Contract,5,"System Design, C++, Algorithms",B.Com + Certification,0.5,fresher
Technical Lead,PSU/Govt,FinTech,Tier 2,Full-Time,10.9,"System Design, Code Review, Team Leadership",B.Sc (CS/IT),4.5,mid
AI Engineer,Startup,FinTech,Tier 2,Full-Time,6.9,"OpenAI API, LLMs, Python",B.Tech/B.E.,0.5,fresher
Python Developer,MNC,FinTech,Tier 2,Contract,25.4,"FastAPI, AWS, Django, PostgreSQL",M.Tech/M.E.,8,senior
Java Developer,MNC,E-Commerce,Tier 1,Full-Time,23.3,"Java, Hibernate, Maven, SQL, Spring Boot",BCA,4.5,mid
Python Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,10.1,"Python, PostgreSQL, AWS, Docker, REST APIs",PhD,4.5,mid
Machine Learning Engineer,Indian Unicorn,Information Technology,Remote,Full-Time,7.9,"Python, Kubernetes, Docker, TensorFlow, AWS",MCA,0.5,fresher
Data Engineer,Startup,EdTech,Tier 1,Full-Time,5.4,"AWS, Python, dbt, Kafka, Spark, ETL",M.Tech/M.E.,0.5,fresher
MLOps Engineer,Indian Unicorn,Consulting,Tier 2,Full-Time,24.8,"MLflow, AWS, Kubernetes, CI/CD, Python",M.Tech/M.E.,4.5,mid
Business Analyst,Indian Unicorn,FinTech,Tier 1,Full-Time,46.3,"Excel, SQL, Agile, Power BI",PhD,10,lead
Computer Vision Engineer,Indian Unicorn,Government/PSU,Tier 2,Full-Time,16.6,"Deep Learning, TensorFlow, Python",M.Tech/M.E.,2,junior
Full Stack Developer,MNC,E-Commerce,Tier 1,Full-Time,41.8,"React, Python, Docker",MCA,8,senior
DevOps Engineer,Indian Unicorn,E-Commerce,Remote,Full-Time,39.1,"Kubernetes, Terraform, AWS, Docker, Jenkins",BCA,8,senior
Data Analyst,Startup,Government/PSU,Tier 1,Part-Time,41.5,"Excel, Statistics, Power BI, Data Visualization, SQL, Tableau",B.Tech/B.E.,8,senior
Java Developer,PSU/Govt,E-Commerce,Tier 2,Full-Time,12.2,"REST APIs, Microservices, Spring Boot, Java, Hibernate",MCA,4.5,mid
MLOps Engineer,MNC,Information Technology,Remote,Full-Time,7.1,"Airflow, Kubernetes, MLflow, Docker",M.Tech/M.E.,0.5,fresher
React Developer,Indian Unicorn,HealthTech,Remote,Full-Time,12.1,"React, HTML/CSS, Redux, TypeScript, JavaScript, Next.js",B.Tech/B.E.,2,junior
Software Engineer,Startup,E-Commerce,Tier 1,Full-Time,18.9,"Python, System Design, Algorithms",B.Sc (CS/IT),4.5,mid
Android Developer,PSU/Govt,Banking & Finance,Remote,Full-Time,6.4,"Kotlin, Jetpack Compose, Firebase, Android SDK, Java",M.Tech/M.E.,2,junior
Frontend Developer,Indian Unicorn,E-Commerce,Remote,Contract,77.2,"Figma, Next.js, TypeScript",B.Tech/B.E.,10,lead
Frontend Developer,MNC,Logistics,Tier 1,Full-Time,37.4,"HTML/CSS, Figma, JavaScript",M.Tech/M.E.,8,senior
AI Engineer,MNC,Retail,Remote,Full-Time,18.2,"Vector DBs, RAG, LangChain, Python, LLMs",B.Sc (CS/IT),4.5,mid
Engineering Manager,Startup,Media & Entertainment,Tier 1,Full-Time,6.5,"OKRs, System Design, Hiring, Agile, Roadmapping",B.Tech/B.E.,0.5,fresher
DevOps Engineer,Startup,Manufacturing,Remote,Full-Time,7,"Kubernetes, Linux, AWS, Jenkins, CI/CD",M.Tech/M.E.,0.5,fresher
Software Engineer,PSU/Govt,Logistics,Remote,Full-Time,7.6,"Algorithms, Python, Git, System Design, C++, Java",B.Tech/B.E.,2,junior
Node.js Developer,MNC,Banking & Finance,Tier 1,Internship,2,"TypeScript, Node.js, REST APIs, Express.js",BCA,0.5,fresher
Python Developer,Startup,Information Technology,Tier 1,Full-Time,43.5,"Docker, FastAPI, REST APIs",B.Sc (CS/IT),8,senior
Data Analyst,Indian Unicorn,Information Technology,Tier 1,Full-Time,22.9,"Excel, Tableau, Data Visualization, Python, Statistics",M.Tech/M.E.,4.5,mid
NLP Engineer,MNC,Information Technology,Remote,Full-Time,11.9,"SpaCy, LLMs, HuggingFace, Transformers, BERT, TensorFlow",MCA,2,junior
NLP Engineer,MNC,Banking & Finance,Remote,Full-Time,12.3,"Transformers, HuggingFace, TensorFlow, Python",B.Tech/B.E.,2,junior
Java Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,5.9,"Microservices, Hibernate, SQL, Maven, REST APIs",M.Tech/M.E.,0.5,fresher
React Developer,MNC,HealthTech,Tier 1,Full-Time,5.2,"JavaScript, Redux, React, HTML/CSS, Next.js",BCA,0.5,fresher
Node.js Developer,MNC,HealthTech,Tier 2,Internship,3.1,"TypeScript, Express.js, MongoDB, REST APIs, Node.js",B.Tech/B.E.,0.5,fresher
Python Developer,Indian Unicorn,Information Technology,Tier 2,Part-Time,59.2,"FastAPI, REST APIs, PostgreSQL, Docker",B.Sc (CS/IT),10,lead
Technical Lead,Indian Unicorn,Government/PSU,Tier 2,Full-Time,80,"Code Review, Microservices, Team Leadership",M.Tech/M.E.,10,lead
Android Developer,MNC,Information Technology,Tier 1,Full-Time,18.5,"Jetpack Compose, Firebase, Java, Kotlin, REST APIs",B.Tech/B.E.,4.5,mid
Software Engineer,MNC,Telecom,Remote,Full-Time,12.6,"REST APIs, C++, Python, Java, Algorithms",B.Tech/B.E.,2,junior
Backend Developer,MNC,HealthTech,Tier 2,Full-Time,4,"Docker, Python, Redis, Node.js, MongoDB",MCA,0.5,fresher
Data Engineer,Indian Unicorn,Manufacturing,Tier 1,Full-Time,21.5,"Spark, dbt, Airflow, AWS, SQL",B.Tech/B.E.,4.5,mid
iOS Developer,Startup,Information Technology,Tier 2,Full-Time,21.7,"Core Data, Swift, REST APIs",MCA,4.5,mid
Android Developer,MNC,Information Technology,Remote,Internship,1.4,"Kotlin, Firebase, Java, Jetpack Compose",B.Tech/B.E.,4.5,mid
Backend Developer,MNC,Information Technology,Tier 2,Full-Time,10.7,"Python, FastAPI, MongoDB",B.Tech/B.E.,2,junior
Data Scientist,Startup,Banking & Finance,Remote,Full-Time,7.7,"Pandas, Tableau, Python, SQL, Statistics",BCA,0.5,fresher
Business Analyst,MNC,EdTech,Tier 1,Full-Time,4.2,"JIRA, Agile, Requirements Gathering, Excel",B.Tech/B.E.,0.5,fresher
Android Developer,MNC,Information Technology,Remote,Full-Time,18,"Firebase, Jetpack Compose, Kotlin, Java",B.Tech/B.E.,4.5,mid
Android Developer,MNC,Automobile,Tier 1,Contract,17.9,"Kotlin, Java, Android SDK, Firebase, REST APIs",MBA,4.5,mid
Product Manager,Indian Unicorn,Banking & Finance,Remote,Full-Time,22.7,"A/B Testing, JIRA, Agile, Roadmapping, SQL",B.Tech/B.E.,4.5,mid
Python Developer,Indian Unicorn,E-Commerce,Remote,Internship,2.4,"AWS, Python, FastAPI, REST APIs, PostgreSQL",B.Sc (CS/IT),4.5,mid
Cybersecurity Analyst,Startup,Manufacturing,Tier 2,Full-Time,24.5,"Penetration Testing, Python, Network Security, Ethical Hacking, SIEM",B.Sc (CS/IT),4.5,mid
Android Developer,Startup,FinTech,Remote,Full-Time,12.2,"Android SDK, Kotlin, Jetpack Compose, Java, REST APIs, Firebase",B.Sc (CS/IT),2,junior
Cloud Engineer,MNC,HealthTech,Tier 1,Full-Time,5.6,"Terraform, Docker, GCP",MCA,0.5,fresher
Data Analyst,Indian Unicorn,Information Technology,Tier 1,Full-Time,23.6,"Excel, Power BI, SQL, Python",MCA,4.5,mid
Java Developer,Indian Unicorn,Information Technology,Tier 2,Internship,2.1,"Java, SQL, Hibernate, Microservices",B.Tech/B.E.,4.5,mid
Cloud Engineer,PSU/Govt,Information Technology,Remote,Full-Time,18.1,"GCP, Terraform, AWS, Docker",B.Tech/B.E.,8,senior
Python Developer,Indian Unicorn,FinTech,Tier 1,Full-Time,14,"REST APIs, PostgreSQL, Python, FastAPI",M.Tech/M.E.,2,junior
AI Engineer,Startup,Banking & Finance,Remote,Full-Time,29.9,"Python, OpenAI API, RAG, LLMs, Prompt Engineering, Vector DBs",MCA,4.5,mid
React Developer,MNC,FinTech,Tier 2,Part-Time,16.3,"JavaScript, Next.js, TypeScript",MCA,4.5,mid
Software Engineer,Startup,Manufacturing,Tier 1,Full-Time,73,"REST APIs, Algorithms, Java, C++, Git",BCA,10,lead
Android Developer,MNC,Information Technology,Remote,Full-Time,4.5,"Kotlin, Firebase, REST APIs, Android SDK",MCA,0.5,fresher
Android Developer,Startup,HealthTech,Tier 1,Full-Time,10.3,"Kotlin, Java, Firebase, REST APIs",B.Tech/B.E.,2,junior
Business Analyst,MNC,Information Technology,Tier 1,Full-Time,8.9,"SQL, Agile, Excel, Power BI, JIRA, Requirements Gathering",B.Tech/B.E.,2,junior
iOS Developer,PSU/Govt,E-Commerce,Tier 1,Full-Time,4.8,"Swift, Firebase, REST APIs, Core Data, Xcode, SwiftUI",B.Sc (CS/IT),0.5,fresher
Machine Learning Engineer,Startup,Banking & Finance,Remote,Full-Time,29.8,"MLOps, PyTorch, Scikit-learn, TensorFlow, AWS",B.Tech/B.E.,4.5,mid
Business Analyst,Startup,Information Technology,Tier 2,Internship,2.5,"Excel, SQL, JIRA, Requirements Gathering, Power BI, Agile",B.Tech/B.E.,8,senior
React Developer,MNC,EdTech,Tier 2,Full-Time,10.8,"Redux, JavaScript, HTML/CSS, TypeScript, Next.js, React",B.Tech/B.E.,2,junior
Node.js Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,6.9,"Express.js, TypeScript, MongoDB",MCA,2,junior
iOS Developer,Indian Unicorn,Information Technology,Remote,Contract,9.1,"REST APIs, Firebase, Core Data",MCA,0.5,fresher
Computer Vision Engineer,MNC,Information Technology,Tier 2,Full-Time,11.4,"Python, Deep Learning, YOLO, PyTorch",B.Com + Certification,2,junior
Full Stack Developer,Indian Unicorn,E-Commerce,Remote,Full-Time,11.9,"PostgreSQL, Docker, REST APIs, AWS, React",B.Tech/B.E.,2,junior
Product Manager,PSU/Govt,Information Technology,Tier 1,Part-Time,21.6,"Product Strategy, User Research, Agile",BCA,10,lead
Research Scientist,Startup,Information Technology,Tier 1,Internship,1.5,"Publications, Python, R, Deep Learning",MCA,0.5,fresher
Machine Learning Engineer,PSU/Govt,HealthTech,Remote,Full-Time,21.8,"AWS, Docker, PyTorch",B.Com + Certification,8,senior
QA Engineer,Startup,EdTech,Remote,Full-Time,19.7,"Python, API Testing, Selenium, JIRA, Postman, Manual Testing",MBA,4.5,mid
Data Engineer,PSU/Govt,EdTech,Tier 2,Full-Time,3.2,"ETL, Python, Airflow, AWS, SQL, Spark",B.Tech/B.E.,0.5,fresher
Full Stack Developer,MNC,Media & Entertainment,Tier 1,Part-Time,11.5,"React, PostgreSQL, MongoDB",B.Tech/B.E.,2,junior
Data Scientist,MNC,Information Technology,Tier 1,Contract,14.9,"Deep Learning, Machine Learning, Statistics, Python",B.Tech/B.E.,4.5,mid
DevOps Engineer,PSU/Govt,E-Commerce,Remote,Internship,0.9,"Kubernetes, Linux, Terraform, CI/CD, Jenkins, Ansible",M.Tech/M.E.,4.5,mid
UI/UX Designer,Startup,Manufacturing,Tier 1,Internship,2.8,"CSS, Prototyping, Wireframing, Figma, Adobe XD, User Research",M.Tech/M.E.,4.5,mid
Python Developer,Indian Unicorn,Government/PSU,Tier 1,Internship,0.9,"Python, AWS, Docker",PhD,2,junior
Java Developer,Startup,E-Commerce,Tier 2,Full-Time,18.2,"Spring Boot, SQL, Microservices, Java",MCA,4.5,mid
AI Engineer,Indian Unicorn,Banking & Finance,Tier 1,Full-Time,58.7,"NLP, LLMs, RAG, OpenAI API, Vector DBs",B.Tech/B.E.,8,senior
Java Developer,Startup,EdTech,Remote,Full-Time,24.4,"Spring Boot, Java, Hibernate, REST APIs, Maven",M.Tech/M.E.,4.5,mid
Software Engineer,Indian Unicorn,Logistics,Remote,Full-Time,71.3,"REST APIs, Algorithms, Java, Git, System Design, Data Structures",MBA,10,lead
Software Engineer,Indian Unicorn,Information Technology,Tier 2,Full-Time,9.3,"C++, System Design, REST APIs, Java",MBA,0.5,fresher
Research Scientist,Indian Unicorn,Government/PSU,Tier 1,Internship,3.2,"PyTorch, R, Deep Learning",B.Tech/B.E.,4.5,mid
Data Engineer,MNC,FinTech,Remote,Full-Time,5.1,"Airflow, Python, Spark, dbt, ETL, SQL",M.Tech/M.E.,0.5,fresher
React Developer,Indian Unicorn,Information Technology,Remote,Full-Time,49.8,"HTML/CSS, Next.js, Redux",B.Tech/B.E.,8,senior
Data Engineer,Startup,Banking & Finance,Remote,Part-Time,25.1,"Spark, SQL, Kafka, Python, AWS",B.Tech/B.E.,4.5,mid
Java Developer,Indian Unicorn,FinTech,Remote,Full-Time,59.7,"REST APIs, Maven, SQL, Hibernate, Java, Microservices",B.Tech/B.E.,10,lead
Data Analyst,PSU/Govt,E-Commerce,Tier 2,Contract,12.6,"Statistics, Python, Power BI, Data Visualization, Tableau",B.Tech/B.E.,4.5,mid
Data Engineer,MNC,E-Commerce,Tier 1,Full-Time,5.2,"ETL, Kafka, Python",B.Tech/B.E.,0.5,fresher
DevOps Engineer,Indian Unicorn,E-Commerce,Remote,Contract,23,"Jenkins, Terraform, Linux, Docker",M.Tech/M.E.,4.5,mid
Data Analyst,Startup,Government/PSU,Tier 1,Full-Time,4.9,"Power BI, SQL, Data Visualization, Python, Tableau, Excel",BCA,0.5,fresher
AI Engineer,MNC,Automobile,Tier 2,Full-Time,25.4,"NLP, Prompt Engineering, LangChain",MBA,4.5,mid
Technical Lead,Startup,Banking & Finance,Tier 1,Full-Time,52.5,"AWS, System Design, Agile, Microservices, Code Review",B.Tech/B.E.,10,lead
React Developer,MNC,Media & Entertainment,Remote,Contract,8.8,"React, JavaScript, Redux, Next.js, HTML/CSS, TypeScript",M.Tech/M.E.,2,junior
Node.js Developer,Indian Unicorn,FinTech,Tier 1,Contract,63.7,"MongoDB, Node.js, JavaScript, TypeScript, Express.js, REST APIs",BCA,10,lead
Data Analyst,Startup,Manufacturing,Tier 2,Full-Time,13.5,"Python, Statistics, Power BI",B.Tech/B.E.,2,junior
Data Engineer,Indian Unicorn,FinTech,Tier 1,Full-Time,13.6,"AWS, Airflow, Kafka",B.Tech/B.E.,2,junior
Android Developer,Startup,EdTech,Tier 1,Full-Time,44.5,"Jetpack Compose, REST APIs, Java, Kotlin",B.Sc (CS/IT),8,senior
Machine Learning Engineer,Startup,FinTech,Remote,Full-Time,65.6,"PyTorch, TensorFlow, Scikit-learn, AWS",B.Tech/B.E.,10,lead
Software Engineer,Startup,Information Technology,Tier 2,Full-Time,21.9,"C++, System Design, Java, Data Structures",B.Tech/B.E.,4.5,mid
Cybersecurity Analyst,Startup,Information Technology,Remote,Contract,6,"Ethical Hacking, Python, Penetration Testing",B.Tech/B.E.,0.5,fresher
Java Developer,Startup,Logistics,Remote,Full-Time,45.5,"Microservices, Java, Spring Boot, SQL, REST APIs, Maven",MCA,8,senior
MLOps Engineer,Indian Unicorn,Automobile,Remote,Full-Time,18.7,"CI/CD, Airflow, Python, Docker, Kubernetes, AWS",B.Tech/B.E.,2,junior
Business Analyst,MNC,Banking & Finance,Tier 1,Full-Time,23.6,"Requirements Gathering, SQL, Excel, JIRA, Power BI",MBA,8,senior
Cybersecurity Analyst,Startup,Gaming,Remote,Full-Time,67.9,"Ethical Hacking, Python, Network Security, SIEM, Penetration Testing",B.Tech/B.E.,10,lead
Android Developer,Indian Unicorn,FinTech,Tier 1,Internship,3.2,"Java, REST APIs, Jetpack Compose, Android SDK",MCA,2,junior
Data Scientist,Startup,HealthTech,Remote,Full-Time,13.4,"Machine Learning, SQL, NLP",PhD,2,junior
AI Engineer,MNC,FinTech,Remote,Full-Time,10.3,"Python, LangChain, OpenAI API, Prompt Engineering, Vector DBs, LLMs",B.Tech/B.E.,2,junior
AI Engineer,PSU/Govt,Information Technology,Tier 1,Full-Time,19,"Prompt Engineering, Python, LangChain, LLMs",M.Tech/M.E.,8,senior
